Date,Time,Latitude,Longitude,Pitch (degrees),Roll (degrees),Heading (degrees Magnetic),Heave,Temperature in electronics box (degrees C),"Acceleration x, forward (G)","Acceleration y, starboard (G)","Acceleration z, down (G)",Yaw rate [degrees/s],Control Mode,Thrust (% Thrust),Thrust difference (% Thrust),Date (MMDDYY),Time (HHMMSS),Temperature (C),Specific Conductance (uS/cm),Salinity (PPT),Pressure (psia),Depth (m),Chlorophyll (ug/L),ODO (%Sat),ODO (mg/L),Turbidity (FNU),Wiper Position (V)
20260130,133603,25.912691395,-80.13780781,-1.9,0.7,7.0,0.0,31.7,-0.04,-0.02,-1.03,-0.16,Thruster,0.0,0.0,13026.0,133559.0,20.86,53202.88,35.17,-0.01,-0.009,2.02,64.93,4.72,-0.13,1.22
20260130,133603,25.912691395,-80.13780781,-1.9,0.7,7.0,0.0,31.7,-0.04,-0.02,-1.03,-0.16,Thruster,0.0,0.0,13026.0,133600.0,20.86,53202.88,35.17,-0.01,-0.009,2.02,64.93,4.72,-0.13,1.22
20260130,133604,25.912691615,-80.13780684,-1.9,0.1,7.0,0.0,31.7,-0.04,-0.0,-1.02,-0.67,Thruster,0.0,0.0,13026.0,133601.0,20.86,53200.1,35.16,-0.01,-0.009,2.0,64.93,4.72,-0.12,1.22
20260130,133605,25.912691783333333,-80.13780585,-1.8,-0.3,7.0,0.0,31.7,-0.03,-0.0,-1.01,-0.45,Thruster,0.0,0.0,13026.0,133602.0,20.86,53200.24,35.16,-0.01,-0.009,2.09,64.94,4.72,-0.13,1.22
20260130,133606,25.912691915,-80.13780490833334,-1.8,0.2,7.0,0.0,31.7,-0.03,-0.01,-1.02,-0.5,Thruster,0.0,0.0,13026.0,133603.0,20.861,53199.48,35.16,-0.01,-0.009,2.14,64.94,4.72,-0.1,1.22
20260130,133607,25.91269208,-80.13780388166667,-2.0,0.5,7.0,0.0,31.7,-0.04,-0.01,-1.03,-0.42,Thruster,0.0,0.0,13026.0,133604.0,20.861,53199.64,35.16,-0.01,-0.009,2.17,64.94,4.72,-0.08,1.22
20260130,133608,25.912692281666665,-80.13780296,-1.9,-0.3,7.0,0.0,31.7,-0.04,0.0,-1.01,-0.79,Thruster,0.0,0.0,13026.0,133605.0,20.861,53205.59,35.17,-0.01,-0.009,2.25,64.95,4.73,-0.05,1.22
20260130,133609,25.912692483333334,-80.13780207166667,-1.7,-1.0,7.0,0.0,31.7,-0.02,0.01,-1.0,-0.71,Thruster,35.5,0.0,13026.0,133606.0,20.861,53214.73,35.18,-0.01,-0.009,2.31,64.97,4.73,-0.02,1.22
20260130,133610,25.912692976666666,-80.13780008833334,-0.7,-0.5,7.0,0.0,31.7,0.06,-0.01,-0.95,-0.65,Thruster,37.4,0.0,13026.0,133607.0,20.862,53220.66,35.18,-0.01,-0.009,2.35,64.99,4.73,-0.02,1.22
20260130,133611,25.912694376666668,-80.1377947,-1.2,-0.5,7.0,0.0,31.7,-0.01,-0.0,-1.0,-0.71,Thruster,25.6,0.0,13026.0,133608.0,20.862,53222.0,35.18,-0.01,-0.009,2.36,65.02,4.73,-0.02,1.22
