step,x,y,theta,v
0.000000000000000000e+00,3.341333026841761011e+01,6.964421173688940314e+00,3.855657110969877566e-02,6.266086635433165686e-01
1.000000000000000000e+00,3.347477617334630651e+01,6.967045647444102485e+00,7.187383137526537347e-02,6.348435380835782960e-01
2.000000000000000000e+00,3.353759965657345532e+01,6.972092186730431074e+00,1.051968456285327924e-01,6.506719615673569601e-01
3.000000000000000000e+00,3.359882360863526429e+01,6.978613698694867473e+00,1.384923459757087805e-01,6.341778634938437520e-01
4.000000000000000000e+00,3.365695045946440445e+01,6.986371813437942002e+00,1.711159384326086108e-01,6.037690933996313625e-01
5.000000000000000000e+00,3.371818783677387188e+01,6.997746876544831629e+00,2.036574089160624046e-01,6.438007449145256578e-01
6.000000000000000000e+00,3.377776009713112870e+01,7.010153922027187789e+00,2.363751152283580237e-01,6.281680201223363014e-01
7.000000000000000000e+00,3.384109684553629904e+01,7.025507385835304319e+00,2.690350727017575272e-01,6.740537530175192416e-01
8.000000000000000000e+00,3.390056786484291962e+01,7.040875966005041953e+00,3.004163811169381915e-01,6.338727683728351270e-01
9.000000000000000000e+00,3.396149302048959839e+01,7.059162791199710796e+00,3.318976639007409357e-01,6.565983719541998997e-01
1.000000000000000000e+01,3.402055064437478649e+01,7.080081469423225471e+00,3.619935035293777581e-01,6.473835486502005354e-01
1.100000000000000000e+01,3.407795446248016447e+01,7.103115003722031418e+00,3.923923997494279114e-01,6.398379439737683638e-01
1.200000000000000000e+01,3.413704182227686346e+01,7.127618450212913181e+00,4.220239840615622184e-01,6.621495514576255514e-01
1.300000000000000000e+01,3.419728044980985260e+01,7.155198908525968626e+00,4.494576003170416278e-01,6.850109442503281576e-01
1.400000000000000000e+01,3.425409796447809896e+01,7.181656364362607903e+00,4.765971510240895048e-01,6.466585548880749990e-01
1.500000000000000000e+01,3.431343377571138120e+01,7.212174291691066053e+00,5.038791642492397305e-01,6.881848732017785686e-01
1.600000000000000000e+01,3.437115955131798017e+01,7.243248243181254153e+00,5.303141850817476577e-01,6.771103287287726369e-01
1.700000000000000000e+01,3.443141000305607946e+01,7.278213428693534048e+00,5.559959927099569210e-01,7.203098853888586506e-01
1.800000000000000000e+01,3.449076915553519029e+01,7.315037838289196515e+00,5.801526340791879344e-01,7.219185979237764395e-01
1.900000000000000000e+01,3.454946336486408853e+01,7.353868974690891847e+00,6.042274812037840004e-01,7.279901878842486296e-01
2.000000000000000000e+01,3.460883075782142271e+01,7.393164428042652503e+00,6.282360629648567896e-01,7.358901984695361831e-01
2.100000000000000000e+01,3.466866656930750423e+01,7.435727704207663713e+00,6.512277335521445831e-01,7.592390206286976362e-01
2.200000000000000000e+01,3.472511118822207266e+01,7.478768153966531607e+00,6.738015645267362297e-01,7.333251332352405116e-01
