step,x,y,theta,v
0.000000000000000000e+00,3.333333333333333570e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.339617235169432519e+01,7.000000000000000000e+00,3.347533806796243461e-02,6.283901836098833016e-01
2.000000000000000000e+00,3.345903672034742726e+01,7.002105192410160051e+00,6.685420121291274498e-02,6.289960795773761326e-01
3.000000000000000000e+00,3.352191651228008595e+01,7.006315244796199160e+00,1.000735690525784705e-01,6.302057421658303626e-01
4.000000000000000000e+00,3.358480179804423216e+01,7.012629492342035142e+00,1.330723247765261963e-01,6.320149434711466174e-01
5.000000000000000000e+00,3.364768264732425251e+01,7.021046937954800171e+00,1.657919373407454877e-01,6.344174175430983276e-01
6.000000000000000000e+00,3.371054913050510748e+01,7.031566252422243757e+00,1.981770696465743331e-01,6.374049485526359637e-01
7.000000000000000000e+00,3.377304203963906559e+01,7.044115634573108409e+00,2.305622019524031785e-01,6.374049485526359637e-01
8.000000000000000000e+00,3.383544266444886972e+01,7.058763336598693705e+00,2.625612307987399419e-01,6.409674836748520121e-01
9.000000000000000000e+00,3.389774115115249487e+01,7.075507045457068322e+00,2.941266687833457016e-01,6.450932670471795083e-01
1.000000000000000000e+01,3.395992766209670322e+01,7.094344117122489024e+00,3.252154829047098072e-01,6.497689906684191996e-01
1.100000000000000000e+01,3.402199237731052506e+01,7.115271577002977743e+00,3.557893090432215910e-01,6.549799578325005145e-01
1.200000000000000000e+01,3.408392549605595434e+01,7.138286120410019642e+00,3.858145655414226827e-01,6.607102546328635917e-01
1.300000000000000000e+01,3.414571723837558892e+01,7.163384113080427440e+00,4.152624725098994496e-01,6.669429252177555556e-01
1.400000000000000000e+01,3.420801512189106575e+01,7.190851385843752830e+00,4.434881456615207274e-01,6.808434007584224235e-01
1.500000000000000000e+01,3.427020222077056388e+01,7.220393292052190937e+00,4.710779266941484966e-01,6.884736370752495560e-01
1.600000000000000000e+01,3.433226871495026700e+01,7.252005166696296357e+00,4.980209095045264878e-01,6.965314291741514507e-01
1.700000000000000000e+01,3.439420480341124886e+01,7.285682017894610674e+00,5.243100468419379379e-01,7.049971177586603632e-01
1.800000000000000000e+01,3.445600070572716334e+01,7.321418527681927912e+00,5.499418386188545949e-01,7.138509420612050294e-01
1.900000000000000000e+01,3.451764666360866585e+01,7.359209052849083221e+00,5.749160057145201730e-01,7.230731578157961748e-01
2.000000000000000000e+01,3.457913294244438163e+01,7.399047625834074715e+00,5.992351584773267792e-01,7.326441416229491077e-01
2.100000000000000000e+01,3.464044983283811519e+01,7.440927955664409232e+00,6.229044677039572431e-01,7.425444817824120580e-01
2.200000000000000000e+01,3.470158765214206653e+01,7.484843428950497035e+00,6.459313444346566069e-01,7.527550559899226501e-01
2.300000000000000000e+01,3.476253674598583387e+01,7.530787110930037720e+00,6.683251335116662251e-01,7.632570965417831976e-01
2.400000000000000000e+01,3.482328748980096123e+01,7.578751746563050951e+00,6.900968245742540308e-01,7.740322438696314311e-01
2.500000000000000000e+01,3.488383029034074667e+01,7.628729761677530696e+00,7.112587830178609405e-01,7.850625893509067810e-01
2.600000000000000000e+01,3.494415558719515502e+01,7.680713264165541787e+00,7.318245024603655668e-01,7.963307084053483642e-01
2.700000000000000000e+01,3.500425385430050085e+01,7.734694045229426607e+00,7.518083794389915919e-01,8.078196849131700219e-01
2.800000000000000000e+01,3.506411560144372430e+01,7.790663580678088174e+00,7.712255103892335928e-01,8.195131279838041571e-01
2.900000000000000000e+01,3.512373137576101101e+01,7.848613032273059176e+00,7.900915104360513030e-01,8.313951820649121416e-01
3.000000000000000000e+01,3.518309176323050735e+01,7.908533249124163333e+00,8.084223531339882474e-01,8.434505313302183005e-01
3.100000000000000000e+01,3.524218739015891089e+01,7.970414769134538169e+00,8.262342300112017757e-01,8.556643992159085332e-01
3.200000000000000000e+01,3.530100892466166584e+01,8.034247820494824666e+00,8.435434285849907621e-01,8.680225439021567180e-01
3.300000000000000000e+01,3.535954707813659326e+01,8.100022323226243159e+00,8.603662274086072426e-01,8.805112504573506804e-01
3.400000000000000000e+01,3.541779260673066432e+01,8.167727890772317423e+00,8.767188066619600040e-01,8.931173202854727489e-01
3.500000000000000000e+01,3.547573631279971096e+01,8.237353831639072865e+00,8.926171727983869264e-01,9.058280584414020176e-01
3.600000000000000000e+01,3.553336904636084626e+01,8.308889151083308278e+00,9.080770958012480687e-01,9.186312593046965791e-01
3.700000000000000000e+01,3.559068170653733176e+01,8.382322552848831876e+00,9.231140576624257132e-01,9.315151910388842493e-01
3.800000000000000000e+01,3.564766524299574257e+01,8.457642440950229101e+00,9.377432107820602436e-01,9.444685791975215849e-01
3.900000000000000000e+01,3.570431065737509613e+01,8.534836921504034279e+00,9.519793450752132014e-01,9.574805897865562576e-01
4.000000000000000000e+01,3.576060900470780268e+01,8.613893804606908233e+00,9.658368626737179330e-01,9.705408120391268989e-01
4.100000000000000000e+01,3.581655139483218875e+01,8.694800606260537634e+00,9.793297592094332149e-01,9.836392411168327632e-01
4.200000000000000000e+01,3.587212899379635189e+01,8.777544550343057139e+00,9.924716107617979066e-01,9.967662609133959295e-01
4.300000000000000000e+01,3.592733302525314087e+01,8.862112570626488051e+00,1.005275565650746605e+00,1.009912627099042837e+00
